Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ENGLISH,English,English,North Dakota,ND,610268,1260,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,North Dakota,ND,9190,582,2015,325
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,North Dakota,ND,895,177,195,90
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,North Dakota,ND,40,30,35,28
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,North Dakota,ND,246,145,16,25
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,North Dakota,ND,160,88,30,22
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,North Dakota,ND,8540,586,1610,204
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,North Dakota,ND,40,39,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,North Dakota,ND,30,32,,
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,North Dakota,ND,80,55,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,North Dakota,ND,100,63,10,11
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,North Dakota,ND,50,30,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,North Dakota,ND,1425,203,170,52
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,North Dakota,ND,95,50,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,North Dakota,ND,96,86,24,27
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,North Dakota,ND,746,295,306,139
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,North Dakota,ND,185,80,21,13
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,North Dakota,ND,560,303,140,93
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,North Dakota,ND,80,83,55,61
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,North Dakota,ND,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,North Dakota,ND,170,66,20,16
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,North Dakota,ND,490,160,160,142
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,North Dakota,ND,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,North Dakota,ND,85,116,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,North Dakota,ND,,,,
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,North Dakota,ND,46,37,35,34
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,North Dakota,ND,262,149,44,47
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,North Dakota,ND,79,67,35,34
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,North Dakota,ND,196,181,7,12
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,North Dakota,ND,20,22,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,North Dakota,ND,100,105,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,North Dakota,ND,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,North Dakota,ND,,,,
