Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
Total,Total,Total Speakers,Louisiana,"4,255,893",450,"119,591","3,145"
English,English,English,Louisiana,"3,887,593","4,476",(X),(X)
SPANISH AND SPANISH CREOLE,Spanish,..Spanish,Louisiana,"150,415","2,358","65,395","2,054"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Louisiana,"101,330","2,402","16,060",863
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Louisiana,130,134,(B),--
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Louisiana,"18,470","1,036","2,235",295
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Louisiana,"6,706",886,649,170
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Louisiana,"2,450",317,374,127
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Louisiana,"3,115",750,"1,170",440
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Louisiana,"5,395",519,720,179
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,Louisiana,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Louisiana,52,50,2,5
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Louisiana,395,152,25,26
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Louisiana,95,119,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Louisiana,95,72,(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Louisiana,155,86,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Louisiana,275,163,40,36
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Louisiana,540,188,88,51
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Louisiana,"1,779",476,520,216
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Louisiana,844,229,80,48
